num;id;box;genus;Subgenus;sp;ssp;loc;sex;Hauteur_platine;form;Note
160;EL72517;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;M;60;;
161;EL72518;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;F;60;;
162;EL72519;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;F;60;;
163;EL72520;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;F;60;;
164;EL72521;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;M;60;;
165;EL72522;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;M;60;;
166;EL72523;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;F;60;;
167;EL72524;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;M;60;;
168;EL72525;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;M;60;;
169;EL72526;B0004503;Papilio;Princeps;grosesmithi;-;Madagascar;F;60;;
170;EL72527;B0004504;Papilio;Princeps;morondavana;-;Madagascar;M;60;;
171;EL72528;B0004504;Papilio;Princeps;morondavana;-;Madagascar;M;60;;
172;EL72529;B0004504;Papilio;Princeps;morondavana;-;Madagascar;M;60;;
173;EL72530;B0004504;Papilio;Princeps;morondavana;-;Madagascar;F;60;;
174;EL72531;B0004504;Papilio;Princeps;morondavana;-;Madagascar;F;60;;
175;EL72532;B0004504;Papilio;Princeps;morondavana;-;Madagascar;M;60;;
176;EL72533;B0004504;Papilio;Princeps;morondavana;-;Madagascar;M;60;;
177;EL72534;B0004504;Papilio;Princeps;morondavana;-;Madagascar;F;60;;
178;EL72535;B0004504;Papilio;Princeps;morondavana;-;Madagascar;F;60;;
179;EL72536;B0004505;Papilio;Princeps;epiphorbas;-;Madagascar;M;60;;
180;EL72537;B0004505;Papilio;Princeps;epiphorbas;-;Madagascar;M;60;;
181;EL72538;B0004506;Papilio;Princeps;epiphorbas;-;Madagascar;F;60;;
182;EL72539;B0004506;Papilio;Princeps;epiphorbas;-;Madagascar;F;60;;
183;EL72540;B0004507;Papilio;Princeps;nobilis;nobilis;Ouganda;M;60;;
184;EL72541;B0004507;Papilio;Princeps;nobilis;nobilis;Kenya;M;60;;
185;EL72542;B0004508;Papilio;Princeps;nobilis;nobilis;Afrique Orientale;F;60;;
186;EL72543;B0004508;Papilio;Princeps;nobilis;nobilis;Kenya;F;60;;
187;EL72544;B0004509;Papilio;Princeps;oribazus;-;Madagascar;M;60;;
188;EL72545;B0004509;Papilio;Princeps;oribazus;-;Madagascar;M;60;;
189;EL72546;B0004510;Papilio;Princeps;oribazus;-;Madagascar;F;60;;
190;EL72547;B0004510;Papilio;Princeps;oribazus;-;Madagascar;F;60;;
191;EL72548;B0004511;Papilio;Menelaides;demolion;demolion;Indonésie;M;60;;
192;EL72549;B0004511;Papilio;Menelaides;demolion;demolion;Indonésie;M;60;;
193;EL72550;B0004511;Papilio;Menelaides;demolion;demolion;Indonésie;M;60;;
194;EL72551;B0004511;Papilio;Menelaides;demolion;demolion;Indonésie;M;60;;
195;EL72552;B0004512;Papilio;Menelaides;demolion;demolion;Indonésie;M;60;;
196;EL72553;B0004512;Papilio;Menelaides;demolion;demolion;Indonésie;F;60;;
197;EL72554;B0004513;Papilio;Menelaides;demolion;demolion;Indonésie;F;60;;
198;EL72555;B0004513;Papilio;Menelaides;demolion;demolion;Indonésie;F;60;;
199;EL72556;B0004513;Papilio;Menelaides;demolion;demolion;Indonésie;F;60;;
200;EL72557;B0004513;Papilio;Menelaides;demolion;demolion;Indonésie;F;60;;
201;EL72558;B0004514;Papilio;Menelaides;noblei;-;Vietnam;M;60;;
202;EL72559;B0004514;Papilio;Menelaides;noblei;-;Laos;M;60;;étalement non plane
203;EL72560;B0004514;Papilio;Menelaides;noblei;-;Vietnam;M;60;;
204;EL72561;B0004514;Papilio;Menelaides;noblei;-;Vietnam;F;60;;
205;EL72562;B0004515;Papilio;Menelaides;gigon;gigon;Indonésie;M;60;;
206;EL72563;B0004515;Papilio;Menelaides;gigon;gigon;Indonésie;M;60;;
207;EL72564;B0004515;Papilio;Menelaides;gigon;gigon;Indonésie;M;60;;
208;EL72565;B0004515;Papilio;Menelaides;gigon;gigon;Indonésie;M;60;;
209;EL72566;B0004515;Papilio;Menelaides;gigon;gigon;Indonésie;M;60;;
210;EL72567;B0004515;Papilio;Menelaides;gigon;gigon;Indonésie;F;60;;
211;EL72568;B0004515;Papilio;Menelaides;gigon;gigon;Indonésie;F;60;;
212;EL72569;B0004516;Papilio;Menelaides;gigon;gigon;Indonésie;F;60;;
213;EL72570;B0004517;Papilio;Menelaides;polytes;polytes;Vietnam;M;60;;
214;EL72571;B0004517;Papilio;Menelaides;polytes;polytes;Chine;M;60;;
215;EL72572;B0004517;Papilio;Menelaides;polytes;polytes;Vietnam;M;60;;
216;EL72573;B0004518;Papilio;Menelaides;polytes;polytes;Chine;M;60;;
217;EL72574;B0004517;Papilio;Menelaides;polytes;polytes;Chine;M;60;;
218;EL72575;B0004518;Papilio;Menelaides;polytes;polytes;Chine;F;60;;
219;EL72576;B0004518;Papilio;Menelaides;polytes;polytes;Chine;F;60;;
220;EL72577;B0004518;Papilio;Menelaides;polytes;polytes;Vietnam;F;60;;
221;EL72578;B0004518;Papilio;Menelaides;polytes;polytes;Vietnam;F;60;;
222;EL72579;B0004518;Papilio;Menelaides;polytes;polytes;Vietnam;F;60;;
223;EL72580;B0004519;Papilio;Menelaides;protenor;protenor;Chine;M;60;;
224;EL72581;B0004519;Papilio;Menelaides;protenor;protenor;Chine;F;60;;
225;EL72582;B0004519;Papilio;Menelaides;protenor;protenor;Thibet;F;60;;
226;EL72583;B0004519;Papilio;Menelaides;protenor;protenor;Thibet;F;60;;
227;EL72584;B0004519;Papilio;Menelaides;protenor;protenor;Thibet;F;60;;
228;EL72585;B0004519;Papilio;Menelaides;protenor;protenor;Thibet;F;60;;
229;EL72586;B0004520;Papilio;Menelaides;protenor;protenor;Thibet;M;60;;
230;EL72587;B0004520;Papilio;Menelaides;protenor;protenor;Chine;M;60;;
231;EL72588;B0004520;Papilio;Menelaides;protenor;protenor;Chine;M;60;;
232;EL72589;B0004520;Papilio;Menelaides;protenor;protenor;Chine;M;60;;
233;EL72590;B0004521;Papilio;Menelaides;memnon;memnon;Indonésie (Java);M;60;;
234;EL72591;B0004521;Papilio;Menelaides;memnon;memnon;Indonésie (Java);M;60;;
235;EL72592;B0004521;Papilio;Menelaides;memnon;memnon;Indonésie (Java);M;60;;
236;EL72593;B0004521;Papilio;Menelaides;memnon;memnon;Indonésie (Java);M;60;;
237;EL72594;B0004521;Papilio;Menelaides;memnon;memnon;Indonésie (Java);M;60;;
238;EL72595;B0004522;Papilio;Menelaides;memnon;memnon;Indonésie (Java);F;60;leomedon;
239;EL72596;B0004523;Papilio;Menelaides;memnon;memnon;Indonésie (Bornéo);F;60;gyrtia;
240;EL72597;B0004523;Papilio;Menelaides;memnon;memnon;Indonésie (Java);F;60;hiera;
241;EL72598;B0004524;Papilio;Menelaides;memnon;memnon;Indonésie (Bornéo);F;60;dobera;
242;EL72599;B0004524;Papilio;Menelaides;memnon;memnon;Indonésie (Java);F;60;isarcha;
243;EL72600;B0004524;Papilio;Menelaides;memnon;memnon;Indonésie (Java);F;60;imperiosa;
244;EL72601;B0004524;Papilio;Menelaides;memnon;memnon;Inde;F;60;achates;
245;EL72602;B0004525;Papilio;Menelaides;memnon;memnon;Indonésie (Java);F;60;venusia;
246;EL72603;B0004526;Papilio;Menelaides;oenomaus;oenomaus;Indonésie (Timor);M;60;;
247;EL72604;B0004527;Papilio;Menelaides;rumanzovia;-;Philippines;M;60;;
248;EL72605;B0004527;Papilio;Menelaides;rumanzovia;-;Indonésie (Célèbes);M;60;;
249;EL72606;B0004527;Papilio;Menelaides;rumanzovia;-;Philippines;M;60;;
250;EL72607;B0004527;Papilio;Menelaides;rumanzovia;-;Philippines;M;60;;
251;EL72608;B0004527;Papilio;Menelaides;rumanzovia;-;Philippines;M;60;;
252;EL72609;B0004528;Papilio;Menelaides;rumanzovia;-;Philippines;F;60;semperinus;
253;EL72610;B0004528;Papilio;Menelaides;rumanzovia;-;Philippines;F;60;obscura;
254;EL72611;B0004528;Papilio;Menelaides;rumanzovia;-;Philippines;F;60;eubalia;
255;EL72612;B0004528;Papilio;Menelaides;rumanzovia;-;Indes;F;60;semperinus;
256;EL72613;B0004528;Papilio;Menelaides;deiphobus;deiphobus;Indonésie (Amboine);M;60;;
257;EL72614;B0004528;Papilio;Menelaides;deiphobus;deiphobus;Indonésie (Amboine);M;60;;
258;EL72615;B0004528;Papilio;Menelaides;deiphobus;deiphobus;Indonésie;M;60;;
259;EL72616;B0004528;Papilio;Menelaides;deiphobus;deiphobus;Indonésie (Ceram);M;60;;
260;EL72617;B0004528;Papilio;Menelaides;deiphobus;deiphobus;Indonésie;M;60;;
261;EL72618;B0004529;Papilio;Menelaides;deiphobus;deiphobus;Indonésie (Ceram);F;60;hypoxanthos;
262;EL72619;B0004529;Papilio;Menelaides;deiphobus;deiphobus;Indonésie (Timor);F;60;hypoxanthos;
263;EL72620;B0004529;Papilio;Menelaides;deiphobus;deiphobus;Indonésie;F;60;flava;
264;EL72621;B0004529;Papilio;Menelaides;deiphobus;deiphobus;Indonésie (Moluques);F;60;flava;
265;EL72622;B0004529;Papilio;Menelaides;deiphobus;deiphobus;Indonésie (Moluques);F;60;flava;
266;EL72623;B0004530;Papilio;Menelaides;forbesi;-;Indonésie (Java);M;60;;
267;EL72624;B0004530;Papilio;Menelaides;forbesi;-;Indonésie (Java);M;60;;
268;EL72625;B0004530;Papilio;Menelaides;forbesi;-;Indonésie (Sumatra);M;60;;
269;EL72626;B0004530;Papilio;Menelaides;forbesi;-;Indonésie (Java);M;60;;
270;EL72627;B0004530;Papilio;Menelaides;forbesi;-;Indonésie (Sumatra);M;60;;
271;EL72628;B0004531;Papilio;Menelaides;thaiwanus;-;Taiwan;M;60;;
