id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19;coord20;coord21;coord22;coord23
EL72617;D;-18.53504714;-9.380188867;-1.770731306;13.19559457;0.71337331;-7.780187872;3.100075595;10.68818153;-5.643990932;-9.276830763;16.89714082;-0.851176292;-1.56885145;-2.175337861;-0.809981014;-2.227971621;1.171377043;-6.701312738;6.550038475;-3.816432276;-6.835982088;-3.633735392;-1.492349167;-2.25659952
EL72617;V;-16.5660729;-2.849311422;-12.83638615;2.543864856;7.564826129;0.078050044;10.41028819;3.688114832;-4.345310098;-11.56557862;-2.390313879;10.67613559;7.579898206;-12.15170178;-2.785027443;5.63172999;6.86071963;-5.928016654;-6.05619517;-5.230599536;-2.539764819;6.328892682;8.063239456;5.270826294
EL72618;D;-3.995513423;5.863244554;-3.493002384;26.94787006;-0.527859366;17.60182554;2.625564575;2.795271134;13.09325573;-5.456094049;2.427619488;4.069529458;0.018990172;6.155948989;4.912425592;-5.574389575;-9.858902724;1.428056651;0.89677194;-1.195916874;-7.851066101;-1.32431166;-3.483733143;5.046835467
EL72618;V;1.99789648;8.138079602;-5.219918811;26.37955464;1.943626258;16.51397804;-1.590926062;0.738290137;11.49849529;-1.583199455;7.028078333;4.124695454;1.587426216;3.312670357;2.736546778;-7.760946781;-7.657028153;4.659172416;1.256832473;-0.614673043;-4.636215956;-2.431918421;-1.430735441;6.418432413
EL72619;D;-5.984458813;8.182107039;-0.346729403;28.45985789;-8.156827447;10.14220962;4.576644102;2.86513698;14.34680497;-9.363646321;-0.375695844;-0.215184969;3.365010566;8.260629932;3.092319606;0.43674535;-6.6776799;-1.115393412;1.743940235;-6.548993853;-1.248379281;0.26266329;-3.2305643;2.357420243
EL72619;V;0.412346706;8.820753531;-4.293975205;30.89545653;-2.389534785;11.46074168;-0.555293597;1.009499783;11.34328574;-7.703501473;3.308861551;0.735411172;7.46293413;5.541497087;2.834974895;-0.4090878;-6.323260238;3.792669193;1.052856346;-4.332340613;0.063409162;0.387097917;-1.91271086;2.261440635
EL72620;D;-19.00909399;-5.970703033;4.200815217;6.733168886;-4.741620529;-12.53220733;-1.80818804;9.278817758;-4.612716982;-9.375473924;18.98082353;-2.3094996;-0.459038214;-0.751618913;-1.229101959;-2.886052066;-0.94793856;-6.078756167;1.995153482;-4.923731226;-5.441139006;-5.457572994;-1.921137531;-0.305943015
EL72620;V;-16.99166211;-7.084339911;-12.70400315;2.07144617;6.778219161;-3.56459546;10.93712096;3.487234668;-7.797157835;-9.888263263;-1.467553858;8.209843971;4.656730903;-12.62598307;-2.563242492;3.502830441;7.061780833;-6.064127355;-4.85195745;-1.983149562;-0.407109812;5.896410103;8.304575343;3.590274641
EL72621;D;-14.11664009;5.363781229;1.555461127;18.18779962;-12.18404862;12.54654387;10.41138331;6.52851535;13.90706163;-3.825088453;-2.528604409;6.205575166;-2.857971113;2.898665896;1.813942506;-1.802804334;-3.547208084;-4.702922969;3.105931959;-5.923437759;-5.218537975;-1.512391851;-4.797371775;4.309692496
EL72621;V;-8.568982427;7.282328052;-2.796790822;22.4457644;-7.577587729;15.53450218;8.820254283;1.700077863;16.92674609;-4.388179476;-0.901711347;6.331266414;-2.908593751;4.01831317;4.499000951;-5.769823957;-7.957828079;0.551945907;-1.279766784;-4.063664745;-6.952949168;-2.220623776;-5.30441489;6.437343434
EL72622;D;-12.79000757;7.115803721;-0.210510165;21.87506192;-11.61955888;11.01547185;10.16949974;4.221684966;11.6083654;-7.939785326;-1.554156116;5.908505018;-3.906685411;2.450500336;1.712238944;-1.966314817;-2.772955682;-5.688253757;2.390596855;-6.47747975;-5.053766142;-1.357674001;-6.012574706;4.111397763
EL72622;V;-5.537542502;8.944431931;-2.498590973;26.95385045;-6.747472545;13.73842506;5.210205178;0.497635933;14.78948262;-6.781072113;2.28091383;5.047809731;-1.783630726;4.124270404;3.026869024;-4.245896398;-8.228740355;0.289869883;0.917524126;-3.705573478;-5.890958767;-1.150142695;-4.22295145;5.894502718
EL72623;D;-23.08334806;-21.16738718;-1.03451883;-1.89177647;5.812835353;-17.25440957;1.896991277;7.942278675;-8.018925374;1.347039086;11.95247879;-4.509592737;-2.975517079;-7.162838376;2.363429825;-5.294968235;-0.730107835;1.047044881;-0.458926896;-6.834029925;1.670141101;-0.12856876;-4.63172906;-0.89496404
EL72623;V;-18.36922949;-2.295512519;-16.73574101;0.457722092;9.642845207;2.291342642;13.23590138;5.804189808;-1.597320727;-4.974467134;6.385087956;13.28163372;-3.197522007;-9.798829792;1.247445532;-0.130805199;2.582438759;-0.371440436;-2.104755378;-6.140708502;2.070744754;0.731376728;0.473614366;-0.799406986
EL72624;D;-21.26554923;-18.84719346;3.722656994;1.660472812;1.280975206;-17.81003597;-0.138374245;12.09464174;-10.17295241;0.004740367;15.35120063;-4.167886135;-3.104218091;-6.042256756;3.047213915;-7.432376736;-0.017265023;0.816239422;-1.388202772;-7.84068508;-1.490858885;-3.244065574;-4.971688786;-1.192709002
EL72624;V;-18.29612857;-9.067541531;-9.710692272;8.506305559;4.647604384;1.142420978;9.497698608;11.79973073;-8.779845074;-2.246460716;8.589640669;10.04920833;-6.873557616;-11.87284844;4.54302606;-5.567220271;-1.995393208;2.854415579;-6.459514611;-3.55369975;2.083707356;-0.437480881;-1.74661173;-3.468906992
