;id;view;meanb;Ant;Post
121;ACC0209;D;0.285492437;0.316330272;0.230713728
122;ACC0209;V;0.38388601;0.505056873;0.313131373
123;ACC0213;D;0.229257328;0.217273372;0.249808934
124;ACC0213;V;0.272621501;0.298980373;0.257017488
125;ACC0216;D;0.277582451;0.333226471;0.190462818
126;ACC0216;V;0.377753315;0.455520747;0.323261399
127;ACC0244;D;0.279484945;0.283785607;0.273868378
128;ACC0244;V;0.319576454;0.306575859;0.325591459
129;ACC0261;D;0.099340972;0.085879161;0.12836104
130;ACC0261;V;0.225326711;0.208085448;0.240162714
131;ACC0263;D;0.101640077;0.094217912;0.120810087
132;ACC0263;V;0.225305327;0.228235584;0.223147319
133;ACC0264;D;0.150571311;0.151450755;0.147379515
134;ACC0264;V;0.275828811;0.234603728;0.312171024
135;ACC0266;D;0.149855002;0.150363565;0.148681856
136;ACC0266;V;0.256342857;0.242017962;0.272125373
137;ACC0267;V;0.264621403;0.236223443;0.288052366
138;ACC0297;D;0.150948136;0.155371407;0.139732683
139;ACC0297;V;0.166457417;0.181649747;0.156069103
140;ACC0298;D;0.21692514;0.232058;0.169781346
141;ACC0298;V;0.264873579;0.27633132;0.256391091
142;ACC02;V;0.15741778;0.169155723;0.14581996
143;ACC0302;D;0.250541598;0.264994976;0.191436165
144;ACC0302;V;0.28948926;0.316749867;0.269834878
145;ACC0320;V;0.242923752;0.298268764;0.210819863
146;ACC0326;D;0.182875051;0.187410005;0.16991064
147;ACC0326;V;0.236919092;0.237890578;0.236416409
148;ACC0333;D;0.150676045;0.154504022;0.141742209
149;ACC0333;V;0.169881322;0.192158393;0.156629894
150;ACC0370;D;0.210212787;0.232165761;0.159648089
151;ACC0370;V;0.33973358;0.376672319;0.319624669
152;ACC0373;D;0.234925651;0.243260687;0.21685215
153;ACC0373;V;0.360570431;0.369512823;0.355246951
154;ACC0378;D;0.199491906;0.21969708;0.150945691
155;ACC0378;V;0.266041706;0.34098734;0.219387372
156;ACC0379;D;0.196287066;0.211592518;0.151601022
157;ACC0379;V;0.222676674;0.301013096;0.177908333
158;ACC0380;D;0.322471091;0.335090149;0.28935741
159;ACC0380;V;0.499875934;0.546159432;0.470299402
160;ACC0381;D;0.337254317;0.35162664;0.29802025
161;ACC0381;V;0.452804876;0.501902559;0.419129143
162;ACC0387;D;0.287500355;0.296342321;0.263905179
163;ACC0387;V;0.371561691;0.423479932;0.339454933
164;ACC0388;D;0.191620772;0.207185331;0.147548481
165;ACC0388;V;0.233760061;0.243711322;0.227157867
166;ACC0389;D;0.314853444;0.334426548;0.264080696
167;ACC0389;V;0.395009045;0.390408117;0.398328749
168;ACC0391;D;0.268890573;0.268252335;0.270177804
169;ACC0391;V;0.448490143;0.46786247;0.43618765
170;ACC0393;D;0.315448359;0.329608407;0.275113223
171;ACC0393;V;0.322082803;0.385744121;0.273058016
172;ACC0394;D;0.297154973;0.314724857;0.256036924
173;ACC0394;V;0.424700747;0.411602868;0.434513034
174;ACC0395;D;0.238170548;0.237774912;0.239059383
175;ACC0395;V;0.358879099;0.34166246;0.370448006
176;ACC0396;D;0.341786439;0.361611885;0.300086423
177;ACC0396;V;0.390816859;0.386987045;0.393331785
178;ACC0397;D;0.390189679;0.401031967;0.361674763
179;ACC0397;V;0.372586858;0.404143753;0.352215868
180;ACC0402;D;0.279895623;0.288379523;0.262007948
181;ACC0402;V;0.416196417;0.461525237;0.381258995
182;ACC040;3;;;
183;ACC0403;D;0.262810061;0.258773781;0.272936144
184;ACC0403;V;0.392604943;0.463557338;0.353816882
185;ACC040;4;;;
186;ACC0404;D;0.243155936;0.241820528;0.246737699
187;ACC0407;D;0.255578103;0.25500506;0.257455633
188;ACC0407;V;0.284810346;0.300420218;0.274960901
189;ACC0408;D;0.301683101;0.308448012;0.285461502
190;ACC0408;V;0.38976296;0.486949478;0.324021484
191;ACC0411;D;0.424390914;0.453737963;0.341695122
192;ACC0411;V;0.41588676;0.471262127;0.374484226
193;ACC0416;D;0.209893934;0.199848541;0.234106827
194;ACC0416;V;0.303167296;0.359162369;0.267882336
195;ACC0419;D;0.291980665;0.301564441;0.262717571
196;ACC05;D;0.186771961;0.18750484;0.18525629
197;AP0001;D;0.082243468;0.082209219;0.082326068
198;AP0001;V;0.141736902;0.12753666;0.154957488
199;AP0002;D;0.098192807;0.096946106;0.1018757
200;AP0003;D;0.11150338;0.116956201;0.099105661
201;AP0003;V;0.168925287;0.178664261;0.158585249
202;AP0004;V;0.122918407;0.108909933;0.136678538
203;AP0005;D;0.10425462;0.067384312;0.17360608
204;AP0005;V;0.116892107;0.111782835;0.121741162
205;AP0006;D;0.061558801;0.053263274;0.082097345
206;AP0006;V;0.134246392;0.106456692;0.159999392
207;AP0007;D;0.063862958;0.056956683;0.081978715
208;AP0007;V;0.120986319;0.11682449;0.125219934
209;AP0008;D;0.077928191;0.038428541;0.175436112
210;AP0008;V;0.0848219;0.063048836;0.106944178
211;AP0009;D;0.068532785;0.063194717;0.088400957
212;AP0009;V;0.141970186;0.125966429;0.156080155
213;AP0010;D;0.09051843;0.045890277;0.189582481
214;AP0010;V;0.078326247;0.078139358;0.078490274
215;AP001;1;;;
216;AP0011;D;0.097910672;0.099561421;0.092574843
217;AP0011;V;0.124076505;0.136306964;0.112494741
218;AP0012;D;0.197792985;0.18299608;0.237862042
219;AP0012;V;0.28665617;0.275630727;0.296955729
220;AP0013;D;0.232384351;0.234546803;0.22629154
221;AP0013;V;0.293943109;0.366112387;0.229626434
222;AP0014;D;0.183667301;0.164307318;0.22855861
223;AP0014;V;0.206089444;0.236451553;0.179727347
224;AP0015;D;0.118746359;0.106410977;0.15093142
225;AP0015;V;0.158675896;0.167394309;0.149634021
226;AP0016;V;0.180196989;0.189305823;0.171444025
227;AP0017;D;0.133883907;0.114035097;0.19539866
228;AP0017;V;0.244862741;0.253087098;0.238449363
229;AP0018;D;0.109625438;0.085431195;0.149183113
230;AP0018;V;0.245965168;0.145852893;0.293328399
231;AP0019;D;0.08807487;0.082575457;0.09761333
232;AP0019;V;0.146027721;0.127271105;0.156039143
233;AP0020;D;0.139035697;0.074723926;0.227619722
234;AP0020;V;0.125481848;0.109208211;0.135122788
235;AP0021;D;0.132992187;0.109065901;0.170094505
236;AP0021D;V;0.183182704;0.148418832;0.202011843
237;AP0021;V;0.183182704;0.148418832;0.202011843
238;AP0022;D;0.112195515;0.086561815;0.152128586
239;AP0022;V;0.146695014;0.1248799;0.159613475
240;AP0023;D;0.285493271;0.286347174;0.284628015
241;AP0023;V;0.314382014;0.319044184;0.309644123
242;AP0024;D;0.116117341;0.115687104;0.116825704
243;AP0024;V;0.172138234;0.173407192;0.170881899
244;AP0025;D;0.183416047;0.095664547;0.291758998
245;AP0025;V;0.158426296;0.164834147;0.155101464
246;AP0026;D;0.243987173;0.081628762;0.443395411
247;AP0026;V;0.147034207;0.133540408;0.156038145
248;AP0027;D;0.082777855;0.085088306;0.074092833
249;AP0027;V;0.120467626;0.138795955;0.101360322
